127.0.0.1 - - [29/Nov/2016:22:25:21 -0500] "GET / HTTP/1.1" 404 1000
192.168.0.23 - - [29/Nov/2016:22:58:17 -0500] "GET /ForHire/authentication/validate?userToken=Ad6dFGPTaZ4NHIuorbLw9aLL2D26PJk%2BY1C6AUVvCw8%3D HTTP/1.1" 200 774
192.168.0.23 - - [29/Nov/2016:22:58:18 -0500] "GET /ForHire/authentication/validate?userToken=Ad6dFGPTaZ4NHIuorbLw9aLL2D26PJk%2BY1C6AUVvCw8%3D HTTP/1.1" 200 774
192.168.0.23 - - [29/Nov/2016:22:58:20 -0500] "GET /ForHire/authentication/validate?userToken=Ad6dFGPTaZ4NHIuorbLw9aLL2D26PJk%2BY1C6AUVvCw8%3D HTTP/1.1" 200 774
192.168.0.23 - - [29/Nov/2016:22:58:21 -0500] "GET /ForHire/authentication/validate?userToken=Ad6dFGPTaZ4NHIuorbLw9aLL2D26PJk%2BY1C6AUVvCw8%3D HTTP/1.1" 200 774
192.168.0.23 - - [29/Nov/2016:22:58:22 -0500] "GET /ForHire/authentication/validate?userToken=Ad6dFGPTaZ4NHIuorbLw9aLL2D26PJk%2BY1C6AUVvCw8%3D HTTP/1.1" 200 774
192.168.0.23 - - [29/Nov/2016:22:58:49 -0500] "GET /ForHire/clientRequest/byRegionCategory?category=Electrical&region=Ottawa%2C%20ON HTTP/1.1" 200 776
192.168.0.23 - - [29/Nov/2016:23:15:02 -0500] "GET /ForHire/clientRequest/byRegionCategory?category=Electrical&region=Ottawa%2C%20ON HTTP/1.1" 200 776
192.168.0.23 - - [29/Nov/2016:23:15:04 -0500] "GET /ForHire/clientRequest/byRegionCategory?category=Electrical&region=Ottawa%2C%20ON HTTP/1.1" 200 776
192.168.0.23 - - [29/Nov/2016:23:15:05 -0500] "GET /ForHire/authentication/validate?userToken=RkE5WN3LowJYgB40U0s7vwEChAbDSu4lvZkEdxiWuRc%3D HTTP/1.1" 200 771
192.168.0.23 - - [29/Nov/2016:23:15:06 -0500] "GET /ForHire/authentication/validate?userToken=RkE5WN3LowJYgB40U0s7vwEChAbDSu4lvZkEdxiWuRc%3D HTTP/1.1" 200 771
